student_email,course_id
aiannitti7@is.gd,1
cjaulme9@bing.com,1
hguerre5@deviantart.com,1
hluckham0@google.ru,1
ljiroudek8@sitemeter.com,1
qllorens2@howstuffworks.com,1
sbowden1@yellowbook.com,1
tattwool4@biglobe.ne.jp,1
devinmbutts@gmail.com,2
aiannitti7@is.gd,2
cjaulme9@bing.com,2
hguerre5@deviantart.com,2
hluckham0@google.ru,3
ljiroudek8@sitemeter.com,3
qllorens2@howstuffworks.com,3
sbowden1@yellowbook.com,3
tattwool4@biglobe.ne.jp,3
devinmbutts@gmail.com,4
aiannitti7@is.gd,4
cjaulme9@bing.com,4
hguerre5@deviantart.com,4
hluckham0@google.ru,5
ljiroudek8@sitemeter.com,5
qllorens2@howstuffworks.com,5
sbowden1@yellowbook.com,6
tattwool4@biglobe.ne.jp,6
devinmbutts@gmail.com,7
aiannitti7@is.gd,7
cjaulme9@bing.com,7
hguerre5@deviantart.com,7
hluckham0@google.ru,7
ljiroudek8@sitemeter.com,8
qllorens2@howstuffworks.com,8
sbowden1@yellowbook.com,8
tattwool4@biglobe.ne.jp,8
devinmbutts@gmail.com,9
aiannitti7@is.gd,9
cjaulme9@bing.com,9
hguerre5@deviantart.com,9
hluckham0@google.ru,10
ljiroudek8@sitemeter.com,10
qllorens2@howstuffworks.com,10
sbowden1@yellowbook.com,10
tattwool4@biglobe.ne.jp,10
